"Ligand","Receptor","Annotation","Reference"
"2300002M23Rik","Ddr1","Secreted Signaling","NicheNet_v2_omnipath"
"2610528A11Rik","Gpr15","Secreted Signaling","NicheNet_v2_omnipath"
"9530003J23Rik","Itgal","Secreted Signaling","NicheNet_v2_omnipath"
"a","Atrn","Secreted Signaling","NicheNet_v2_omnipath"
"a","F11r","Secreted Signaling","NicheNet_v2_omnipath"
"a","Mc1r","Secreted Signaling","NicheNet_v2_omnipath"
"a","Mc2r","Secreted Signaling","NicheNet_v2_omnipath"
"a","Mc3r","Secreted Signaling","NicheNet_v2_omnipath"
"a","Mc4r","Secreted Signaling","NicheNet_v2_omnipath"
"a","Mc5r","Secreted Signaling","NicheNet_v2_omnipath"
"a","Mgrn1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"A2m","Klk1b22","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Klk1b9","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Klk1","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Klk1b11","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Klk1b16","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Klk1b21","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Klk1b24","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Klk1b26","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Klk1b27","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Klk1b5","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Klk1b1","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Klk1b8","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Klk1b4","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Klk1b3","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Lrp1","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Mmp2","Secreted Signaling","NicheNet_v2_omnipath"
"A2m","Mmp9","Secreted Signaling","NicheNet_v2_omnipath"
"Aanat","Mtnr1a","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Aanat","Mtnr1b","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Abca1","Apoa1","Secreted Signaling","NicheNet_v2_omnipath"
"Abca1","Megf10","Secreted Signaling","NicheNet_v2_omnipath"
"Ace","Agtr2","Secreted Signaling","NicheNet_v2_omnipath"
"Ace","Bdkrb2","Secreted Signaling","NicheNet_v2_omnipath"
"Ace2","Slc6a19","Secreted Signaling","NicheNet_v2_omnipath"
"Ace2","Tigit","Secreted Signaling","NicheNet_v2_omnipath"
"Ace2","Tnfrsf11a","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Ace2","Tnfrsf11b","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Acp4","Erbb4","Secreted Signaling","NicheNet_v2_omnipath"
"Acp4","Vstm2b","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","App","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","Axl","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","Cd44","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","Epha3","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","Notch1","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","Notch2","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","Notch3","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","Notch4","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","Tspan10","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","Tspan14","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","Tspan15","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","Tspan17","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","Tspan33","Secreted Signaling","NicheNet_v2_omnipath"
"Adam10","Tspan5","Secreted Signaling","NicheNet_v2_omnipath"
"Adam11","Ccr4","Secreted Signaling","NicheNet_v2_omnipath"
"Adam11","Itga4","Secreted Signaling","NicheNet_v2_omnipath"
"Adam12","Itga9","Secreted Signaling","NicheNet_v2_omnipath"
"Adam12","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Adam12","Sdc4","Secreted Signaling","NicheNet_v2_omnipath"
"Adam15","Itga5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adam15","Itga9","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adam15","Itgb1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adam15","Itgb3","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adam17","Erbb4","Secreted Signaling","NicheNet_v2_omnipath"
"Adam17","Il6ra","Secreted Signaling","NicheNet_v2_omnipath"
"Adam17","Itga5","Secreted Signaling","NicheNet_v2_omnipath"
"Adam17","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Adam17","Muc1","Secreted Signaling","NicheNet_v2_omnipath"
"Adam17","Notch1","Secreted Signaling","NicheNet_v2_omnipath"
"Adam17","Notch2","Secreted Signaling","NicheNet_v2_omnipath"
"Adam17","Notch3","Secreted Signaling","NicheNet_v2_omnipath"
"Adam17","Notch4","Secreted Signaling","NicheNet_v2_omnipath"
"Adam2","Cd9","Secreted Signaling","NicheNet_v2_omnipath"
"Adam2","Itga6","Secreted Signaling","NicheNet_v2_omnipath"
"Adam2","Itga9","Secreted Signaling","NicheNet_v2_omnipath"
"Adam2","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Adam2","Itgb7","Secreted Signaling","NicheNet_v2_omnipath"
"Adam20","Il1rapl1","Secreted Signaling","NicheNet_v2_omnipath"
"Adam20","Il1rapl2","Secreted Signaling","NicheNet_v2_omnipath"
"Adam21","Clec12b","Secreted Signaling","NicheNet_v2_omnipath"
"Adam21","Flt4","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adam21","Igsf21","Secreted Signaling","NicheNet_v2_omnipath"
"Adam23","Itga5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adam23","Itgb3","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adam25","Il1rapl1","Secreted Signaling","NicheNet_v2_omnipath"
"Adam25","Il1rapl2","Secreted Signaling","NicheNet_v2_omnipath"
"Adam28","Itga4","Secreted Signaling","NicheNet_v2_omnipath"
"Adam29","Itga4","Secreted Signaling","NicheNet_v2_omnipath"
"Adam39","Il1rapl1","Secreted Signaling","NicheNet_v2_omnipath"
"Adam39","Il1rapl2","Secreted Signaling","NicheNet_v2_omnipath"
"Adam7","Itga4","Secreted Signaling","NicheNet_v2_omnipath"
"Adam7","Itgb7","Secreted Signaling","NicheNet_v2_omnipath"
"Adam9","Itga6","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adam9","Itgav","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adam9","Itgb1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adam9","Itgb5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adamts3","Ccbe1","Secreted Signaling","NicheNet_v2_omnipath"
"Adcyap1","Adcyap1r1","Secreted Signaling","NicheNet_v2_omnipath"
"Adcyap1","Sctr","Secreted Signaling","NicheNet_v2_omnipath"
"Adcyap1","Vipr1","Secreted Signaling","NicheNet_v2_omnipath"
"Adcyap1","Vipr2","Secreted Signaling","NicheNet_v2_omnipath"
"Adgrb1","Rtn4r","Secreted Signaling","NicheNet_v2_omnipath"
"Adgre5","Cd55","Secreted Signaling","NicheNet_v2_omnipath"
"Adgre5","Cd55b","Secreted Signaling","NicheNet_v2_omnipath"
"Adgrf5","Treml2","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adipoq","Adipor1","Secreted Signaling","NicheNet_v2_omnipath"
"Adipoq","Adipor2","Secreted Signaling","NicheNet_v2_omnipath"
"Adipoq","Cnr2","Secreted Signaling","NicheNet_v2_omnipath"
"Adipoq","Ffar3","Secreted Signaling","NicheNet_v2_omnipath"
"Adm","Calcr","Secreted Signaling","NicheNet_v2_omnipath"
"Adm","Calcrl","Secreted Signaling","NicheNet_v2_omnipath"
"Adm","Gpr182","Secreted Signaling","NicheNet_v2_omnipath"
"Adm","Mrgprx2","Secreted Signaling","NicheNet_v2_omnipath"
"Adm","Mrgpra1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgpra2b","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgpra9","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgpra2a","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgprx1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgprb4","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgprb5","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgprb2","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgpra4","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgpra6","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgprb8","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgpra3","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgprb3","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Mrgprb1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Adm","Ramp1","Secreted Signaling","NicheNet_v2_omnipath"
"Adm","Ramp2","Secreted Signaling","NicheNet_v2_omnipath"
"Adm","Ramp3","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Adcyap1r1","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Adrb2","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Adrb3","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Calcr","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Calcrl","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Gpr20","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Gpr84","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Pth1r","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Ramp1","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Ramp2","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Ramp3","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Tshr","Secreted Signaling","NicheNet_v2_omnipath"
"Adm2","Vipr1","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Atp1a3","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Chrnb3","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Dag1","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Lrp1","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Lrp2","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Lrp4","Secreted Signaling","NicheNet_v2_omnipath"
"Agrn","Musk","Secreted Signaling","NicheNet_v2_omnipath"
"Agrp","Mc3r","Secreted Signaling","NicheNet_v2_omnipath"
