MRID	HMDB ID	Metabolite name	PubChem CID/SID	Molecular Formula	Kingdom	Super Class	Class	Canonical SMILES	Receptor gene ID	Receptor uniprot id	Receptor symbol	Protein name	PMID	Other.DB
MRH0001	HMDB0000012	Deoxyuridine	CID:13712;SID:348274189	C9H12N2O5	Organic compounds	"Nucleosides, nucleotides, and analogues"	Pyrimidine nucleosides	OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O	3177	Q14542	SLC29A2	"Equilibrative nucleoside transporter 2 (36 kDa nucleolar protein HNP36) (Delayed-early response protein 12) (Equilibrative nitrobenzylmercaptopurine riboside-insensitive nucleoside transporter) (Equilibrative NBMPR-insensitive nucleoside transporter) (Hydrophobic nucleolar protein, 36 kDa) (Nucleoside transporter, ei-type) (Solute carrier family 29 member 2)"		MEBOCOST; Recon2
MRH0002	HMDB0000014	Deoxycytidine	CID:13711;SID:348274190	C9H13N3O4	Organic compounds	"Nucleosides, nucleotides, and analogues"	Pyrimidine nucleosides	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	3177	Q14542	SLC29A2	"Equilibrative nucleoside transporter 2 (36 kDa nucleolar protein HNP36) (Delayed-early response protein 12) (Equilibrative nitrobenzylmercaptopurine riboside-insensitive nucleoside transporter) (Equilibrative NBMPR-insensitive nucleoside transporter) (Hydrophobic nucleolar protein, 36 kDa) (Nucleoside transporter, ei-type) (Solute carrier family 29 member 2)"		MEBOCOST; Recon2
MRH0003	HMDB0000016	Deoxycorticosterone	CID:6166;SID:135651469	C21H30O3	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	2908	P04150	NR3C1	Glucocorticoid receptor	8282004; 10747884	IUPHAR/BPS
MRH0004	HMDB0000016	Deoxycorticosterone	CID:6166;SID:135651469	C21H30O3	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	4306	P08235	NR3C2	Mineralocorticoid receptor	8282004	IUPHAR/BPS
MRH0005	HMDB0000022	3-Methoxytyramine	CID:1669;SID:348274197	C9H13NO2	Organic compounds	Benzenoids	Phenols	COC1=C(O)C=CC(CCN)=C1	134864	Q96RJ0	TAAR1	Trace amine-associated receptor 1 (TaR-1) (Trace amine receptor 1)	22483291	MEBOCOST
MRH0006	HMDB0000030	Biotin	CID:171548;SID:348274202	C10H16N2O3S	Organic compounds	Organoheterocyclic compounds	Biotin and derivatives	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2	8884	Q9Y289	SLC5A6	Sodium-dependent multivitamin transporter (Na(+)-dependent multivitamin transporter) (Solute carrier family 5 member 6)	27084392	MEBOCOST
MRH0007	HMDB0000031	Androsterone	CID:5879;SID:348274203	C19H30O2	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C	367	P10275	AR	Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	21303972; 24861263; 12647261	MEBOCOST
MRH0008	HMDB0000034	Adenine	CID:190;SID:348274206	C5H5N5	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	NC1=C2NC=NC2=NC=N1	64078	Q9HAS3	SLC28A3	Solute carrier family 28 member 3 (Concentrative Na(+)-nucleoside cotransporter 3) (CNT 3) (hCNT3)	33972798	MEBOCOST
MRH0009	HMDB0000034	Adenine	CID:190;SID:348274206	C5H5N5	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	NC1=C2NC=NC2=NC=N1	55315	Q9BZD2	SLC29A3	Equilibrative nucleoside transporter 3 (hENT3) (Solute carrier family 29 member 3)	33972798	
MRH0010	HMDB0000034	Adenine	CID:190;SID:348274206	C5H5N5	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	NC1=C2NC=NC2=NC=N1	80255	Q8WV83	SLC35F5	Solute carrier family 35 member F5 (Hepatitis C virus NS5A-transactivated protein 3) (HCV NS5A-transactivated protein 3)	33972798	
