,AMP,Pyruvate,Acetyl-CoA,Glutamate,2OG,Oxaloacetate,Glycine,Succinate,UDP-N-acetylglucosamine,lysine,Aspartate,Glutathione,Arginine,Glutamine,Serine,Methionine,Ornithine,Phenylalanine,Tyrosine,Succinyl-CoA,Cysteine,B-Alanine,Propanoyl-CoA,Glucose-1-phosphate,UMP,Dolichyl phosphate,CDP,Choline,G3P,PRPP,Fumarate,Leucine,IMP,Putrescine,Histidine,GMP,Proline,Malate,Citrate,UDP-glucuronic acid,Valine,Cholesterol,Threonine,3PD,dCMP,Lactate,Hypoxanthine,Glucose,Citrulline,GABA,dTMP,dUMP,Xanthine,Chondroitin,Isoleucine,"(E,E)-Farnesyl-PP",Deoxyadenosine,XMP,G6P,dCDP,Spermine,Argininosuccinate,Dolichyl phosphate D-mannose,AICAR,Fatty Acid,Pyrimidine,(Glc)3 (GlcNAc)2 (Man)9 (Asn)1,(GlcNAc)4 (Man)3 (Asn)1,(Gal)2 (GlcA)1 (Xyl)1 (Ser)1,(Gal)1 (GlcNAc)1 (Man)1 (Ser/Thr)1
A,0.008177523,0.00034404173,0.01323469,-0.01203689,0.0035909647,-0.0064833444,-0.014580622,0.017176326,-0.009896712,0.0086233765,-0.03170894,-0.0054953084,0.017303992,0.016966583,-0.006357843,-0.021043032,0.007967085,1.6685575e-05,0.0021984912,0.010506457,0.003586202,0.012487041,0.0051631294,-0.008775737,0.0034452975,-0.019406866,0.0048995353,-0.02069955,0.0010113716,-0.019862749,0.022504244,-0.0059612393,0.005530499,-0.013878572,-0.0036068857,0.010887068,0.0069780927,0.0034762025,0.016606078,-0.010251388,-0.0022273003,-2.1257438e-06,-0.018743262,-0.0008324445,0.00010211393,-0.004922867,-0.0036194162,-0.013048327,-2.6348978e-05,0.0045942664,0.002074927,-0.014407799,-0.013257541,-0.017391764,-0.00039689802,-0.013529924,0.022634795,-0.03597606,0.0048867874,-0.017422538,0.020739809,-0.006563466,0.004240535,-0.014895871,-0.0046979934,-0.00016940571,-0.0077599585,-0.01176434,-0.0014602132,-0.0177666
B,0.008115336,0.0010772087,0.009386912,-0.010823816,0.011378175,-0.0072405767,-0.014794225,0.0173303,-0.0066006053,0.008982405,-0.03170715,-0.0068564755,0.017303992,0.016731167,-0.006145194,-0.021339685,0.0037116744,1.6685575e-05,0.0022091642,0.00766676,0.0038573006,0.012548165,0.004418608,-0.008775737,-0.006207466,-0.021093335,0.012480114,-0.02069955,0.0017918199,-0.020105168,0.022502638,-0.0060323775,0.006778538,-0.013858578,-0.0036960691,0.010767326,0.010653703,0.0039367825,0.0109898,-0.010251388,-0.001207286,-1.4414545e-06,-0.01836823,-0.0012330255,0.00015508756,-0.004922867,-0.0036194162,-0.013048327,-2.631545e-05,0.0045942664,0.0005776435,-0.014363304,-0.013219722,-0.01751516,-0.0005308199,-0.01646725,0.023401836,-0.036223568,0.00113694,-0.018175956,0.020892367,-0.0065634996,0.0046532974,-0.0157585,0.0013819486,-0.00014134683,-0.0076277256,-0.008380033,-0.0013201721,-0.018179363
A.1,0.0081742965,0.0006319918,0.01211112,-0.01163277,0.007083514,-0.007148085,-0.0146464,0.016904347,-0.010561751,0.008650988,-0.031679813,-0.0068319836,0.017303992,0.017724143,-0.006286001,-0.021099254,0.0026791543,1.6685575e-05,0.0022179708,0.009175001,0.003778859,0.01241512,0.0049940012,-0.008775737,0.00019574165,-0.018190278,0.007831987,-0.02069955,0.00093120337,-0.019787006,0.022469003,-0.0059939027,0.0059144273,-0.013851496,-0.003545314,0.010849189,0.011978505,0.0034599006,0.0153089315,-0.010251388,-0.002335289,-3.2428652e-06,-0.018581048,-0.0005080048,0.000108692795,-0.004922867,-0.0036194162,-0.013048327,-2.5831163e-05,0.0045942664,0.0021175742,-0.014401779,-0.013261534,-0.017431416,-0.00045204302,-0.015547476,0.022654174,-0.03605724,0.0050892793,-0.017476145,0.020759508,-0.006563984,0.0045856386,-0.015110418,-0.0020808727,-0.00015905686,-0.008893028,-0.013094597,-0.0014144816,-0.018111704
E,0.008146316,0.00045363978,-0.0068959557,-0.013920158,0.013281607,-0.004762305,-0.014557028,0.016852878,-0.0097439755,0.0081447065,-0.031633165,-0.004876856,0.017303992,0.01798913,-0.0063700248,-0.021929756,0.0040674955,1.6685575e-05,0.0022230633,0.013871698,0.0044792676,0.012438269,0.005026769,-0.008775737,0.00093996525,-0.018789178,0.00746629,-0.02069955,0.0014293343,-0.01968541,0.022428699,-0.0060058236,0.0065446123,-0.013870689,-0.0036083907,0.010871749,0.010909108,0.003750071,0.00526233,-0.010251388,-0.0052008717,-2.6728958e-06,-0.01871775,-0.0012473594,0.000100046396,-0.004922867,-0.0036194162,-0.013048327,-2.501905e-05,0.0045942664,0.0016732365,-0.014409661,-0.013121076,-0.01768928,-0.0011826754,0.008029852,0.02290433,-0.036230393,0.0042469613,-0.017535165,0.021376595,-0.006564796,0.0040043145,-0.015679076,-0.0032453686,-0.000119129196,-0.005567163,-0.013046525,-0.0011577494,-0.01753038
B.1,0.008197829,0.0005954839,0.015405372,-0.013239518,0.0049670273,-0.006261034,-0.014719106,0.016926028,-0.00797184,0.008750163,-0.031655636,-0.0049219946,0.017303992,0.017668875,-0.0062206984,-0.02102165,0.003549613,1.6685575e-05,0.0022205077,0.008029701,0.0036988892,0.0122988615,0.005035188,-0.008775737,0.0052832365,-0.01746089,0.0028267018,-0.02069955,0.0004939288,-0.019824587,0.022430856,-0.0059711337,0.0049673542,-0.013852115,-0.0034130514,0.010855995,0.011132626,0.0036427528,0.016444325,-0.010251388,-0.0014155596,-2.558343e-06,-0.018561736,-0.0009496361,0.000100594014,-0.004922867,-0.0036194162,-0.013048327,-2.540648e-05,0.0045942664,0.002851963,-0.014408752,-0.013326533,-0.017463379,-0.00028947974,-0.014868564,0.022128025,-0.035940148,0.0037293695,-0.017246407,0.020706072,-0.0065644085,0.0045915246,-0.014404014,-0.005277291,-0.0001750607,-0.007697493,-0.014717855,-0.0013766028,-0.01811759
E.1,0.008155599,0.0009776242,-0.001115486,-0.011573464,0.009250299,-0.0039697867,-0.014165023,0.016818047,-0.0056484807,0.008811876,-0.03170108,-0.008690361,0.017303992,0.019162143,-0.006543517,-0.022550508,0.0068886876,1.6685575e-05,0.0021640584,0.009488074,0.004213386,0.012710305,0.0053281896,-0.008775737,-0.008266568,-0.020528395,0.014014032,-0.02069955,0.0012548566,-0.019616395,0.02253801,-0.005964458,0.0058625937,-0.013855654,-0.0036462247,0.010761462,0.0077863913,0.002960682,0.010287628,-0.010251388,-0.0018598973,-1.1734664e-06,-0.018611625,0.0006621778,0.0001742132,-0.004922867,-0.0036194162,-0.013048327,-2.6207417e-05,0.0045942664,0.0015031993,-0.014349081,-0.013356157,-0.016707748,-0.0007995479,-0.000870632,0.022895226,-0.035997577,-0.0019944198,-0.018044438,0.021787241,-0.0065636076,0.0043699443,-0.014920458,-0.0014674813,-0.00035333075,-0.012389347,-0.008688681,-0.0021445565,-0.01789601
B.2,0.008189499,0.0007528104,0.019680966,-0.012955517,0.012604718,-0.0035599452,-0.014662614,0.017007433,-0.008847462,0.008954689,-0.031715587,-0.004760989,0.017303992,0.017243074,-0.006278679,-0.021388933,0.005446255,1.6685575e-05,0.0021920726,0.0071066376,0.0035998425,0.012326503,0.0049979948,-0.008775737,0.0042591393,-0.0186168,0.0029837675,-0.02069955,0.0007055029,-0.019781038,0.022518337,-0.0059761405,0.0052616373,-0.013881224,-0.003510058,0.010830119,0.009025214,0.003759563,0.0062173456,-0.010251388,-0.00089172414,-2.2947788e-06,-0.01847379,-0.0009962767,0.00012459978,-0.004922867,-0.0036194162,-0.013048327,-2.6468188e-05,0.0045942664,0.0026802719,-0.014387742,-0.013237245,-0.017549478,-0.00026236498,-0.015000565,0.022293234,-0.03612516,0.0045576654,-0.01752847,0.021015093,-0.006563347,0.004628323,-0.014716342,-0.0068487525,-0.0001056958,-0.0051745772,-0.013508789,-0.0012465753,-0.018154388
E.2,0.00818558,0.0008901991,0.005510118,-0.011156231,0.008403727,-0.004934905,-0.014372701,0.016945817,-0.0077258814,0.008659057,-0.031690612,-0.008290816,0.017303992,0.018620016,-0.006467916,-0.021827638,0.0055349953,1.6685575e-05,0.002191078,0.009970991,0.0039357776,0.012691664,0.005143415,-0.008775737,-0.0022425652,-0.018938165,0.009158205,-0.02069955,0.0011484623,-0.019749425,0.022499464,-0.005970925,0.0058171973,-0.013866252,-0.0036555678,0.01080326,0.009055434,0.0030783713,0.011750177,-0.010251388,-0.0023571192,-1.527369e-06,-0.018643335,5.7286583e-05,0.00013612583,-0.004922867,-0.0036194162,-0.013048327,-2.6021153e-05,0.0045942664,0.0022034198,-0.014378361,-0.013286628,-0.017093003,-0.0005984078,-0.0057677366,0.022448042,-0.03607703,0.001246389,-0.01763193,0.021275327,-0.006563794,0.0045099407,-0.015018508,-0.0036096722,-0.00032534637,-0.009863108,-0.012037061,-0.0017515533,-0.018036006
C,0.008224161,-0.0006140433,0.022829175,-0.01592949,0.007867158,-0.004908262,-0.014936693,0.016767148,-0.010083066,0.009122353,-0.03161976,-0.0028536827,0.017303992,0.018335791,-0.006007172,-0.020181164,0.015791073,1.6685575e-05,0.0022421107,0.006096514,0.0033358252,0.012250567,0.0051533096,-0.008775737,0.013758272,-0.01825982,-0.0020614527,-0.02069955,-0.0003112629,-0.019976594,0.022364277,-0.0059645176,0.004293166,-0.013836715,-0.0034035891,0.010858167,-2.5959685e-05,0.0040751398,0.012069806,-0.010251388,-7.2979834e-05,-1.527369e-06,-0.018281713,-0.0010579079,4.5467168e-05,-0.004922867,-0.0036194162,-0.013048327,-2.4788082e-05,0.0045942664,0.004179254,-0.014471538,-0.01337374,-0.017553315,-5.993154e-05,-0.018166402,0.02117195,-0.035858013,0.007285919,-0.016156923,0.020155624,-0.006565027,0.0046227686,-0.013776228,-0.008111015,-0.00013622828,-0.006754905,-0.012795217,-0.0012139045,-0.018148834
D,0.0082094,-5.8081e-05,0.0125169605,-0.0121999085,0.009339579,-0.0058605503,-0.014770353,0.017117001,-0.009817349,0.008853547,-0.031651754,-0.0057636094,0.017303992,0.01745467,-0.006152941,-0.021055236,0.009367807,1.6685575e-05,0.0022283234,0.007942604,0.0035787271,0.012486758,0.0048759095,-0.008775737,0.0030917823,-0.019517887,0.0042967834,-0.02069955,0.00011972338,-0.01975824,0.022420783,-0.005985379,0.004892625,-0.0138617465,-0.00366427,0.010871131,0.005885152,0.003840074,0.01161702,-0.010251388,-0.0015261709,-3.542751e-06,-0.018519148,-0.0008720625,0.0001209937,-0.004922867,-0.0036194162,-0.013048327,-2.5339425e-05,0.0045942664,0.0032986104,-0.014390834,-0.013365574,-0.017495915,-0.00038114702,-0.015092846,0.021821233,-0.035846986,0.0058683716,-0.017337624,0.020755842,-0.0065644756,0.0045013577,-0.014329687,-0.0015161484,-0.00011173822,-0.009006381,-0.010796912,-0.0013631843,-0.018027423
