,metab_num,HMDB_ID,PubChem,KEGG,SMILES
0,2170,HMDB0000895,187,C01996,CC(=O)OCC[N+](C)(C)C
1,2171,HMDB0000273,5789,C00214,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O
2,2172,HMDB0000295,6031,C00015,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
3,2173,HMDB0000045,6083,C00020,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
4,2174,HMDB0000975,7427,C01083,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
5,2175,HMDB0000050,60961,C00212,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1
6,2176,HMDB0000169,185698,C00159,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
7,2177,HMDB0000216,439260,C00547,NC[C@H](O)C1=CC(O)=C(O)C=C1
8,2178,HMDB0008923,445468,C00350,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCCC
9,2179,HMDB0001358,638015,C00376,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=O
10,2180,HMDB0001220,5280360,C00584,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
11,2181,HMDB0001442,5280723,C04741,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O
12,2182,HMDB0004666,5282280,C13856,[H]C(CO)(CO)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC
13,2183,HMDB0004949,5283564,C00195,[H][C@@](CO)(NC(=O)CCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC
14,2184,HMDB0000990,177,C00084,CC=O
15,2185,HMDB0000492,312,C00698,[Cl-]
16,2186,HMDB0000073,681,C03758,NCCC1=CC(O)=C(O)C=C1
17,2187,HMDB0000123,750,C00037,NCC(O)=O
18,2188,HMDB0000870,774,C00388,NCCC1=CNC=N1
19,2189,HMDB0000220,985,C00249,CCCCCCCCCCCCCCCC(O)=O
20,2190,HMDB0014328,3007,C07514,CC(N)CC1=CC=CC=C1
21,2191,HMDB0014680,4543,C07274,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12
22,2192,HMDB0000259,5202,C00780,NCCC1=CNC2=C1C=C(O)C=C2
23,2193,HMDB0000016,6166,C03205,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
24,2195,HMDB0000058,6076,C00575,[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N
25,2196,HMDB0001452,5280497,C02198,CCCCC[C@H](O)\C=C\[C@H]1O[C@H]2C[C@H](O2)[C@@H]1C\C=C/CCCC(O)=O
26,2197,HMDB0000234,6013,C00535,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
27,2198,HMDB0000181,6047,C00355,N[C@@H](CC1=CC=C(O)C(O)=C1)C(O)=O
28,2199,HMDB0000132,764,C00242,NC1=NC(=O)C2=C(N1)N=CN2
29,2200,HMDB0000588,923,C01330,[Na+]
30,2201,HMDB0000251,1123,C00245,NCCS(O)(=O)=O
31,2202,HMDB0001377,977,C00007,O=O
32,2203,HMDB0000289,1175,C00366,O=C1NC2=C(N1)C(=O)NC(=O)N2
33,2204,HMDB0007855,5497152,C00416,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COP(O)(O)=O
34,2205,HMDB0007853,89566,C04036,CCCCCCCCCCCCCCCC(=O)OCC(O)COP(O)(O)=O
35,2206,HMDB0001341,6022,C00008,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
36,2207,HMDB0000134,444972,C00122,OC(=O)\C=C\C(O)=O
37,2208,HMDB0001448,1117,C00059,OS(O)(=O)=O
38,2209,HMDB0000765,6251,C00392,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
39,2210,HMDB0003229,445638,C08362,CCCCCC\C=C/CCCCCCCC(O)=O
40,2211,HMDB0001903,5280453,C01673,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C
41,2212,HMDB0001877,3121,C07185,CCCC(CCC)C(O)=O
42,2213,HMDB0001967,280,C00011,O=C=O
43,2214,HMDB0003378,145068,C00533,[N]=O
44,2215,HMDB0000174,17106,C01019,C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O
45,2216,HMDB0000538,5957,C00002,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
46,2217,HMDB0000258,5988,C00089,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
47,2218,HMDB0001830,5994,C00410,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
48,2219,HMDB0004385,5280914,C06314,CCCCC[C@H](O)\C=C\C=C/C=C/C=C/[C@@H](O)[C@@H](O)CCCC(O)=O
49,2220,HMDB0000108,702,C00469,CCO
50,2221,HMDB0000037,5839,C01780,[H][C@@]12CC[C@H](C(=O)CO)[C@]1(C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C)C=O
51,2222,HMDB0000207,445639,C00712,CCCCCCCC\C=C/CCCCCCCC(O)=O
52,2223,HMDB0000131,753,C00116,OCC(O)CO
53,2224,HMDB0000063,5754,C00735,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
54,2225,HMDB0000112,119,C00334,NCCCC(O)=O
55,2226,HMDB0001852,444795,C00777,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
