"interaction_name","ligand_type","interaction_type","lig_contributor","receptor_subunit","lig_contributor_group","lig_contributor_coeff","receptor_subunit_group","receptor_subunit_coeff"
"Vip_Vipr1","Neuropeptide","ligand-receptor","Vip","Vipr1","1","1","1","1"
"Vip_Vipr2","Neuropeptide","ligand-receptor","Vip","Vipr2","1","1","1","1"
"Npy_Npy1r","Neuropeptide","ligand-receptor","Npy","Npy1r","1","1","1","1"
"Npy_Npy2r","Neuropeptide","ligand-receptor","Npy","Npy2r","1","1","1","1"
"Npy_Npy5r","Neuropeptide","ligand-receptor","Npy","Npy5r","1","1","1","1"
"Sst_Sstr1","Neuropeptide","ligand-receptor","Sst","Sstr1","1","1","1","1"
"Sst_Sstr2","Neuropeptide","ligand-receptor","Sst","Sstr2","1","1","1","1"
"Sst_Sstr3","Neuropeptide","ligand-receptor","Sst","Sstr3","1","1","1","1"
"Sst_Sstr4","Neuropeptide","ligand-receptor","Sst","Sstr4","1","1","1","1"
"Penk_Oprd1","Neuropeptide","ligand-receptor","Penk","Oprd1","1","1","1","1"
"Penk_Oprm1","Neuropeptide","ligand-receptor","Penk","Oprm1","1","1","1","1"
"Tac2_Tacr3","Neuropeptide","ligand-receptor","Tac2","Tacr3","1","1","1","1"
"Cck_Cckbr","Neuropeptide","ligand-receptor","Cck","Cckbr","1","1","1","1"
"Crh_Crhr1","Neuropeptide","ligand-receptor","Crh","Crhr1","1","1","1","1"
"Crh_Crhr2","Neuropeptide","ligand-receptor","Crh","Crhr2","1","1","1","1"
"Tac1_Tacr1","Neuropeptide","ligand-receptor","Tac1","Tacr1","1","1","1","1"
"Pdyn_Oprd1","Neuropeptide","ligand-receptor","Pdyn","Oprd1","1","1","1","1"
"Pdyn_Oprk1","Neuropeptide","ligand-receptor","Pdyn","Oprk1","1","1","1","1"
"Pdyn_Oprm1","Neuropeptide","ligand-receptor","Pdyn","Oprm1","1","1","1","1"
"Cort_Sstr1","Neuropeptide","ligand-receptor","Cort","Sstr1","1","1","1","1"
"Cort_Sstr2","Neuropeptide","ligand-receptor","Cort","Sstr2","1","1","1","1"
"Cort_Sstr3","Neuropeptide","ligand-receptor","Cort","Sstr3","1","1","1","1"
"Cort_Sstr4","Neuropeptide","ligand-receptor","Cort","Sstr4","1","1","1","1"
"Pthlh_Pth1r","Neuropeptide","ligand-receptor","Pthlh","Pth1r","1","1","1","1"
"Pnoc_Oprl1","Neuropeptide","ligand-receptor","Pnoc","Oprl1","1","1","1","1"
"Adcyap1_Adcyap1r1","Neuropeptide","ligand-receptor","Adcyap1","Adcyap1r1","1","1","1","1"
"Adcyap1_Vipr1","Neuropeptide","ligand-receptor","Adcyap1","Vipr1","1","1","1","1"
"Adcyap1_Vipr2","Neuropeptide","ligand-receptor","Adcyap1","Vipr2","1","1","1","1"
"Trh_Trhr","Neuropeptide","ligand-receptor","Trh","Trhr","1","1","1","1"
"Trh_Trhr2","Neuropeptide","ligand-receptor","Trh","Trhr2","1","1","1","1"
"Grp_Grpr","Neuropeptide","ligand-receptor","Grp","Grpr","1","1","1","1"
"Nmb_Nmbr","Neuropeptide","ligand-receptor","Nmb","Nmbr","1","1","1","1"
"Nts_Ntsr1","Neuropeptide","ligand-receptor","Nts","Ntsr1","1","1","1","1"
"Nts_Ntsr2","Neuropeptide","ligand-receptor","Nts","Ntsr2","1","1","1","1"
"Rln1_Rxfp1","Neuropeptide","ligand-receptor","Rln1","Rxfp1","1","1","1","1"
"Rln1_Rxfp2","Neuropeptide","ligand-receptor","Rln1","Rxfp2","1","1","1","1"
"Rln1_Rxfp3","Neuropeptide","ligand-receptor","Rln1","Rxfp3","1","1","1","1"
"Glu_Grin1","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grin1","1;2;2;2","1;1","1","1"
"Glu_Grin2a","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grin2a","1;2;2;2","1;1","1","1"
"Glu_Grin2b","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grin2b","1;2;2;2","1;1","1","1"
"Glu_Grin2c","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grin2c","1;2;2;2","1;1","1","1"
"Glu_Grin2d","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grin2d","1;2;2;2","1;1","1","1"
"Glu_Grin3a","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grin3a","1;2;2;2","1;1","1","1"
"Glu_Grin3b","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grin3b","1;2;2;2","1;1","1","1"
"Glu_Gria1","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Gria1","1;2;2;2","1;1","1","1"
"Glu_Gria2","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Gria2","1;2;2;2","1;1","1","1"
"Glu_Gria3","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Gria3","1;2;2;2","1;1","1","1"
"Glu_Gria4","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Gria4","1;2;2;2","1;1","1","1"
"Glu_Grik1","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grik1","1;2;2;2","1;1","1","1"
"Glu_Grik2","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grik2","1;2;2;2","1;1","1","1"
"Glu_Grik3","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grik3","1;2;2;2","1;1","1","1"
"Glu_Grik4","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grik4","1;2;2;2","1;1","1","1"
"Glu_Grik5","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grik5","1;2;2;2","1;1","1","1"
"Glu_Grm1","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grm1","1;2;2;2","1;1","1","1"
"Glu_Grm5","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grm5","1;2;2;2","1;1","1","1"
"Glu_Grm4","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grm4","1;2;2;2","1;1","1","1"
"Glu_Grm6","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grm6","1;2;2;2","1;1","1","1"
"Glu_Grm7","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grm7","1;2;2;2","1;1","1","1"
"Glu_Grm8","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grm8","1;2;2;2","1;1","1","1"
"Glu_Grm2","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grm2","1;2;2;2","1;1","1","1"
"Glu_Grm3","Neurotransmitter","ligand-receptor","Gls;Slc17a6;Slc17a7;Slc17a8","Grm3","1;2;2;2","1;1","1","1"
"Nrxn1_Nlgn1","Synaptic adhesion molecule","ligand-receptor","Nrxn1","Nlgn1","1","1","1","1"
"Nrxn2_Nlgn2","Synaptic adhesion molecule","ligand-receptor","Nrxn2","Nlgn2","1","1","1","1"
"Nrxn3_Nlgn3","Synaptic adhesion molecule","ligand-receptor","Nrxn3","Nlgn3","1","1","1","1"
"GABA_Gabra1","Neurotransmitter","ligand-receptor","Gad1;Gad2;Slc32a1","Gabra1","1;1;2","1;1","1","1"
"GABA_Gabra2","Neurotransmitter","ligand-receptor","Gad1;Gad2;Slc32a1","Gabra2","1;1;2","1;1","1","1"
"GABA_Gabra3","Neurotransmitter","ligand-receptor","Gad1;Gad2;Slc32a1","Gabra3","1;1;2","1;1","1","1"
