,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18,M_19,M_20,M_21,M_22,M_23,M_24,M_25,M_26,M_27,M_28,M_29,M_30,M_31,M_32,M_33,M_34,M_35,M_36,M_37,M_38,M_39,M_40,M_41,M_42,M_43,M_44,M_45,M_46,M_47,M_48,M_49,M_50,M_51,M_52,M_53,M_54,M_55,M_56,M_57,M_58,M_59,M_60,M_61,M_62,M_63,M_64,M_65,M_66,M_67,M_68,M_69,M_70,M_71,M_72,M_73,M_74,M_75,M_76,M_77,M_78,M_79,M_80,M_81,M_83,M_84,M_85,M_87,M_88,M_89,M_90,M_91,M_92,M_93,M_94,M_95,M_96,M_97,M_98,M_99,M_100,M_101,M_102,M_103,M_105,M_106,M_107,M_108,M_109,M_110,M_111,M_112,M_113,M_114,M_115,M_116,M_117,M_118,M_119,M_120,M_121,M_122,M_123,M_124,M_125,M_126,M_127,M_128,M_129,M_130,M_131,M_132,M_133,M_134,M_135,M_136,M_137,M_138,M_139,M_140,M_141,M_142,M_143,M_144,M_145,M_146,M_147,M_148,M_149,M_150,M_151,M_152,M_153,M_154,M_155,M_156,M_157,M_158,M_159,M_160,M_161,M_162,M_163,M_164,M_165,M_166,M_167,M_168,M_169,M_170,M_171
A,0.012544811,0.0025158972,0.0010459721,0.0018784404,0.008952767,-1.3411045e-06,0.019164681,0.0054658055,0.001874268,8.3856285e-05,4.2177737e-05,4.053116e-06,0.004624754,0.008068085,-2.3748726e-08,0.004246652,0.001975298,0.0026191473,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,2.8256327e-06,0.0055111647,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0015333891,0.007519722,0.019204259,0.00045855343,0.0064670444,0.013985485,-5.517155e-06,5.921349e-06,0.018782556,0.0158239,-1.14664435e-05,0.0014313608,0.0044561774,0.0037736744,0.009001613,0.00016154349,0.0048921555,0.009175032,0.017263114,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017826617,0.0022273213,0.00040075928,1.6763806e-08,5.4027885e-05,0.0038783848,-2.6762486e-05,0.00051893294,0.00076007843,4.3213367e-07,6.3315034e-05,-6.2864274e-07,0.006588191,2.4724752e-05,0.01821497,0.011238456,0.013118297,0.012077689,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,7.459149e-05,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.005669296,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.025830686,0.017422229,0.008580267,0.013338387,1.9509345e-05,0.004671335,0.01475504,0.0061693788,0.013929337,0.0054259896,0.03452772,0.0004950091,0.00043080002,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.0005232468,0.01791501,0.0009006411,0.00029652566,-1.1667609e-05,0.014884204,0.009633422,-7.683411e-09,5.6441873e-05,0.0013994575,0.0225524,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.014026701,-7.547438e-06,0.030928046,0.011040866,2.1416694e-05,0.020024776,0.020968825,0.011547059,0.026001245,0.000118397176,0.0001719445,0.021276563,-2.9094517e-06,0.011503696,-2.354756e-05,0.00015409291,0.005683273,0.003193438,0.0113684535,0.0060824156,0.0032111108,5.54882e-06,2.1699816e-07,2.2407621e-06,1.0197982e-07,0.010908484,7.856637e-05
B,0.012544811,0.0029696375,0.0005762726,0.0018083751,0.008707881,-1.3411045e-06,0.019461334,0.011378735,-1.2340024e-08,0.00011341274,5.300343e-05,4.053116e-06,0.004164174,0.008068085,9.2294067e-07,0.004246652,0.001975298,0.0024074465,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,9.23872e-07,0.0068742335,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.001654774,0.0075438917,0.018829226,0.000601545,0.0130957365,0.014534235,-5.517155e-06,5.921349e-06,0.018782556,0.015822142,-1.14664435e-05,0.0014313608,0.0044561774,0.0038628578,0.009001613,0.0001334846,0.0050273985,0.009409279,0.01741311,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017897755,0.001207307,0.00053462386,7.4040145e-08,4.335493e-05,0.0038783848,-2.6762486e-05,0.00015990436,0.00076007843,2.188608e-05,6.3315034e-05,-6.2864274e-07,0.006588191,2.4691224e-05,0.022448927,0.011796802,0.013119757,0.012228787,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,0.00022620708,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.008965403,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.0230034,0.017422229,0.008573592,0.0134733915,1.0170043e-06,0.004671335,0.016423017,0.008077592,0.015705317,0.0047014803,0.035311878,0.0004950091,1.8037856e-05,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.0003998503,0.01791501,0.0008839965,0.00068193674,-1.1667609e-05,0.015746832,0.009633422,-7.683411e-09,0.000118628144,0.0013994575,0.023257256,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.014064521,-7.547438e-06,0.030928046,0.0112505555,0.0001411587,0.020024776,0.020968825,0.011547059,0.03565401,0.000118397176,0.00019936264,0.023376167,-2.9094517e-06,0.011832148,-2.354756e-05,0.00019858778,0.006010771,0.003193438,0.0113684535,0.0060327053,0.0047581047,5.54882e-06,4.2188913e-07,1.8440187e-06,1.9324943e-08,0.010908484,0.00013154
A.1,0.012544811,0.002978444,0.0013435632,0.0018511415,0.008925468,-1.3411045e-06,0.019845724,0.0074439943,0.00035990775,4.6424568e-05,5.5026263e-05,4.053116e-06,0.004641056,0.008068085,4.2654574e-07,0.004246652,0.001975298,0.0025477558,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,8.439645e-06,0.006842226,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0015644878,0.0074976385,0.019042045,0.00070367754,0.00834319,0.01324451,-5.517155e-06,5.921349e-06,0.018782556,0.01579529,-1.14664435e-05,0.0014313608,0.0044561774,0.0037121028,0.009001613,0.00015119463,0.004670456,0.009403646,0.018190056,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.01785928,0.00233531,0.00045588613,3.4924597e-08,3.4548342e-05,0.0038783848,-2.6762486e-05,0.0004913211,0.00076007843,0.0,6.3315034e-05,-6.2864274e-07,0.006588191,2.4206936e-05,0.023503333,0.011526406,0.013090789,0.012124896,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,0.00023053586,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.005004257,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.023862481,0.017422229,0.00872311,0.013260603,3.6526471e-06,0.004671335,0.013522595,0.004046783,0.012939811,0.0047722757,0.034289718,0.0004950091,8.569658e-05,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00048359483,0.01791501,0.0008945614,0.00046590716,-1.1667609e-05,0.015098751,0.009633422,-7.683411e-09,5.9667975e-05,0.0013994575,0.022568554,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.014022708,-7.547438e-06,0.030928046,0.011126041,5.9295446e-05,0.020024776,0.020968825,0.011547059,0.0292508,0.000118397176,0.00016922504,0.021590948,-2.9094517e-06,0.011551708,-2.354756e-05,0.00016011298,0.0056762695,0.003193438,0.0113684535,0.0060647726,0.0031861067,5.54882e-06,3.6228448e-07,3.2354146e-06,3.6973506e-07,0.010908484,8.5145235e-05
E,0.012544811,0.0030029863,0.0007068515,0.001954183,0.008877516,-1.3411045e-06,0.017169774,0.014814645,0.0015324652,4.156679e-05,6.565079e-05,4.053116e-06,0.0043508857,0.008068085,2.7939677e-08,0.004246652,0.001975298,0.0026313812,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,1.41859055e-05,0.004881352,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0016882569,0.0076168776,0.019178748,0.00086680055,0.0076459944,0.01371181,-5.517155e-06,5.921349e-06,0.018782556,0.015749454,-1.14664435e-05,0.0014313608,0.0044561774,0.0037751794,0.009001613,0.00011126697,0.0046344697,0.009543568,0.01851657,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017871201,0.0052008927,0.0011858791,6.7427754e-07,2.945587e-05,0.0038783848,-2.6762486e-05,0.0009976029,0.00076007843,1.04010105e-05,6.3315034e-05,-6.2864274e-07,0.006588191,2.3394823e-05,0.022104591,0.01119706,0.013120383,0.012712389,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,0.00080142915,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.0058220327,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.047320813,0.017422229,0.008629471,0.013238549,4.414469e-07,0.004671335,0.014118284,0.0067836046,0.012350768,0.005295515,0.033725053,0.0004950091,0.0006670207,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00022573024,0.01791501,0.0008956939,0.00052743405,-1.1667609e-05,0.015667409,0.009633422,-7.683411e-09,8.764863e-05,0.0013994575,0.02279073,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.014163166,-7.547438e-06,0.030928046,0.011158735,3.6735088e-05,0.020024776,0.020968825,0.011547059,0.028506577,0.000118397176,0.0001706332,0.02121383,-2.9094517e-06,0.011490405,-2.354756e-05,0.00015223026,0.005813122,0.003193438,0.0113684535,0.0059884787,0.0037067384,5.54882e-06,2.7008355e-07,2.933666e-06,9.313226e-09,0.010908484,7.6498836e-05
B.1,0.012544811,0.0017484426,0.0008290857,0.001778394,0.008855075,-1.3411045e-06,0.01877582,0.005238697,0.00027109683,4.7635287e-05,4.3168664e-05,4.053116e-06,0.004458204,0.008068085,3.2782555e-07,0.004246652,0.001975298,0.0024823546,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,1.1352822e-06,0.004939541,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.001549378,0.007498771,0.019022733,0.00042542815,0.0054413974,0.013539135,-5.517155e-06,5.921349e-06,0.018782556,0.015771538,-1.14664435e-05,0.0014313608,0.0044561774,0.00357984,0.009001613,0.00016719848,0.004679069,0.009334534,0.017894119,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017836511,0.0014155805,0.0002933368,2.0954758e-08,3.201142e-05,0.0038783848,-2.6762486e-05,0.0003921464,0.00076007843,9.573996e-06,6.3315034e-05,-6.2864274e-07,0.006588191,2.3782253e-05,0.0226233,0.011492252,0.013100982,0.012061268,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,0.00017298013,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.007594168,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.024573088,0.017422229,0.008608639,0.013337165,7.339567e-05,0.004671335,0.012862951,0.0041763186,0.0118738115,0.0047921985,0.03416741,0.0004950091,7.981062e-05,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00045163184,0.01791501,0.00088864565,0.0002252385,-1.1667609e-05,0.014392346,0.009633422,-7.683411e-09,3.6135316e-05,0.0013994575,0.022065938,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.013957709,-7.547438e-06,0.030928046,0.011073947,5.248934e-05,0.020024776,0.020968825,0.011547059,0.024163306,0.000118397176,0.00014757365,0.021487087,-2.9094517e-06,0.01150915,-2.354756e-05,0.00015313923,0.005504161,0.003193438,0.0113684535,0.0060917735,0.002424717,5.54882e-06,2.225861e-07,2.624467e-06,1.5646219e-07,0.010908484,7.7046454e-05
E.1,0.012544811,0.0051488727,0.0028816015,0.0022180825,0.0088557005,-1.3411045e-06,0.017166644,0.009786218,0.00053534657,3.5881996e-05,4.922971e-05,4.053116e-06,0.0051402748,0.008068085,1.3411045e-06,0.004246652,0.001975298,0.0028061867,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,0.00023138523,0.008477658,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0018421263,0.0077213347,0.019072622,0.0010124147,0.009921819,0.014209747,-5.517155e-06,5.921349e-06,0.018782556,0.015816182,-1.14664435e-05,0.0014313608,0.0044561774,0.0038130134,0.009001613,0.00034546852,0.004588902,0.009181589,0.019766182,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017829835,0.0018599182,0.0008031428,2.8312206e-07,8.846074e-05,0.0038783848,-2.6762486e-05,0.00033043325,0.00076007843,7.365644e-05,6.3315034e-05,-6.2864274e-07,0.006588191,2.458319e-05,0.019220144,0.01143533,0.013168603,0.013074815,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,0.00016447902,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.009917527,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.038672864,0.017422229,0.008641124,0.013440818,3.908202e-05,0.004671335,0.015896142,0.004275158,0.016664505,0.0050372183,0.0357171,0.0004950091,0.0003013909,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.0012072623,0.01791501,0.0009009689,0.00060403347,-1.1667609e-05,0.014908791,0.009633422,-7.683411e-09,7.836521e-05,0.0013994575,0.022790909,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.013928086,-7.547438e-06,0.030928046,0.011161,0.0001470223,0.020024776,0.020968825,0.011547059,0.03771311,0.000118397176,0.00017414242,0.02387613,-2.9094517e-06,0.011922538,-2.354756e-05,0.00021281093,0.005755514,0.003193438,0.0113684535,0.0063199997,0.0035452545,5.54882e-06,2.4400651e-07,1.3969839e-06,2.0489097e-08,0.010908484,0.00015066564
B.2,0.012544811,0.0017957687,0.0006393343,0.001635611,0.008775264,-1.3411045e-06,0.015957922,0.012647778,4.2486936e-05,5.832687e-05,4.3325126e-05,4.053116e-06,0.0043413937,0.008068085,0.0,0.004246652,0.001975298,0.0025400072,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,-2.561137e-08,0.0047796965,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0015630275,0.007562965,0.018934786,0.0004509315,0.0043676347,0.014036834,-5.517155e-06,5.921349e-06,0.018782556,0.015830427,-1.14664435e-05,0.0014313608,0.0044561774,0.0036768466,0.009001613,9.7833574e-05,0.004749939,0.009212911,0.017450273,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017841518,0.0008917451,0.00026623905,3.958121e-09,6.044656e-05,0.0038783848,-2.6762486e-05,0.00018762052,0.00076007843,4.4703484e-08,6.3315034e-05,-6.2864274e-07,0.006588191,2.4843961e-05,0.020736188,0.011712551,0.013120562,0.012350708,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,6.144494e-05,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.006718546,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.024285883,0.017422229,0.008587807,0.013258129,1.8086284e-05,0.004671335,0.01396355,0.007125497,0.012300074,0.005047381,0.034230024,0.0004950091,4.30122e-05,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00036553293,0.01791501,0.000844717,0.0002071932,-1.1667609e-05,0.0147046745,0.009633422,-7.683411e-09,4.4465065e-05,0.0013994575,0.022222817,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.014046997,-7.547438e-06,0.030928046,0.011169672,7.836521e-05,0.020024776,0.020968825,0.011547059,0.025187403,0.000118397176,0.00015425682,0.022360802,-2.9094517e-06,0.011662722,-2.354756e-05,0.00017414987,0.0055876374,0.003193438,0.0113684535,0.0059589446,0.002729237,5.54882e-06,1.9557774e-07,2.4475157e-06,4.284084e-08,0.010908484,0.000101052225
E.2,0.012544811,0.0039854646,0.0021010637,0.0020433068,0.008902103,-1.3411045e-06,0.018014073,0.0091710985,0.00076679885,5.0738454e-05,4.7985464e-05,4.053116e-06,0.0050225854,0.008068085,4.703179e-07,0.004246652,0.001975298,0.002729714,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,0.00010018051,0.008209318,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0017035306,0.00761047,0.019104332,0.00073593855,0.00746426,0.013894379,-5.517155e-06,5.921349e-06,0.018782556,0.0158059,-1.14664435e-05,0.0014313608,0.0044561774,0.0038223565,0.009001613,0.00031748414,0.0047005713,0.009286404,0.01908061,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017836303,0.0023571402,0.0006021634,1.2246892e-07,6.144121e-05,0.0038783848,-2.6762486e-05,0.0004832521,0.00076007843,2.4553388e-05,6.3315034e-05,-6.2864274e-07,0.006588191,2.4396926e-05,0.020622939,0.011569083,0.013130099,0.012601405,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,0.00015667081,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.007840127,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.033652365,0.017422229,0.0086251795,0.0133469105,2.5559217e-05,0.004671335,0.014292389,0.004226029,0.014089137,0.004929483,0.034994096,0.0004950091,0.00016139448,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00082200766,0.01791501,0.0008932203,0.00046058744,-1.1667609e-05,0.01500684,0.009633422,-7.683411e-09,4.838407e-05,0.0013994575,0.022373706,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.013997614,-7.547438e-06,0.030928046,0.011170924,0.00010522455,0.020024776,0.020968825,0.011547059,0.031689107,0.000118397176,0.00016190857,0.02269572,-2.9094517e-06,0.011726141,-2.354756e-05,0.00018353015,0.0056067705,0.003193438,0.0113684535,0.006290078,0.0028749555,5.54882e-06,2.2351742e-07,1.7024577e-06,4.8428774e-08,0.010908484,0.00011257827
C,0.012544811,0.00030311942,0.00038736314,0.0014501512,0.008664161,-1.3411045e-06,0.016990662,0.007828057,-3.967434e-05,2.9165298e-05,3.344938e-05,4.053116e-06,0.004025817,0.008068085,-4.8801303e-06,0.004246652,0.001975298,0.0022636205,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,2.2817403e-06,0.0028700829,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0013403445,0.007391691,0.01874271,0.00022701919,0.002110213,0.013041675,-5.517155e-06,5.921349e-06,0.018782556,0.015736282,-1.14664435e-05,0.0014313608,0.0044561774,0.0035703778,0.009001613,0.00012836605,0.0045289397,0.0090865195,0.018514633,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017829895,7.300079e-05,6.3844025e-05,-3.4458935e-08,1.0408461e-05,0.0038783848,-2.6762486e-05,1.995638e-05,0.00076007843,-1.1036173e-06,6.3315034e-05,-6.2864274e-07,0.006588191,2.3163855e-05,0.010392517,0.010420054,0.013074905,0.011536896,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,1.7803162e-05,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.005482942,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.020950377,0.017422229,0.0085424185,0.013149977,2.1196902e-06,0.004671335,0.013590604,0.005582601,0.012337506,0.0048173815,0.033410937,0.0004950091,4.856661e-05,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.0003616959,0.01791501,0.0008158833,0.00017883629,-1.1667609e-05,0.01376456,0.009633422,-7.683411e-09,9.803101e-06,0.0013994575,0.021136194,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.013910502,-7.547438e-06,0.030928046,0.011039019,5.0317496e-05,0.020024776,0.020968825,0.011547059,0.01568827,0.000118397176,0.00010816753,0.0178608,-2.9094517e-06,0.010932356,-2.354756e-05,9.035319e-05,0.0051093847,0.003193438,0.0113684535,0.00602296,0.0011662394,5.54882e-06,3.5390258e-08,1.5664846e-06,-3.7252903e-09,0.010908484,2.1919608e-05
D,0.012544811,0.0014549494,0.00084385276,0.0017156899,0.008883983,-1.3411045e-06,0.018178016,0.009468198,0.00012804568,7.4688345e-05,4.4725835e-05,4.053116e-06,0.0042608827,0.008068085,2.2538006e-07,0.004246652,0.001975298,0.0024144948,0.027026296,0.010947883,0.020696402,-7.6871365e-06,1.8782914e-05,1.7747283e-05,0.005764544,-1.010485e-07,0.018664867,8.776784e-05,3.259629e-09,0.0015258044,0.007507026,0.018980145,0.00049137324,0.009655744,0.013992339,-5.517155e-06,5.921349e-06,0.018782556,0.015767723,-1.14664435e-05,0.0014313608,0.0044561774,0.0038310587,0.009001613,0.000103875995,0.0048445463,0.009285748,0.017679513,0.0032018423,0.012239188,2.1141022e-07,0.0029368699,0.017850757,0.0015261918,0.0003850013,2.3748726e-08,2.419576e-05,0.0038783848,-2.6762486e-05,0.00028876215,0.00076007843,8.0652535e-07,6.3315034e-05,-6.2864274e-07,0.006588191,2.3715198e-05,0.016813874,0.0109303,0.013101846,0.012110174,-2.5387853e-06,0.0052366406,0.0029072016,-7.841736e-07,3.3043325e-06,0.008096904,-3.5390258e-08,0.0049215257,0.021235913,5.9779733e-05,8.627772e-05,-3.1478703e-06,0.00046099722,0.004342541,-2.3450702e-06,0.0031036586,4.414469e-07,2.6058406e-05,-1.9855797e-05,-5.820766e-09,0.012871534,0.0061576664,-1.007691e-05,2.0954758e-08,3.878027e-06,0.011865377,0.009142309,0.010778487,-1.6242266e-06,0.026119173,1.5776604e-06,0.002820447,0.00050097704,0.0057486594,-2.6192516e-05,0.0053100735,0.015561461,0.0034394711,4.546717e-06,0.024189144,0.017422229,0.008563787,0.013282329,1.3481826e-05,0.004671335,0.014860034,0.0053718686,0.01437825,0.0050237924,0.034516394,0.0004950091,0.00016997755,-3.1106174e-06,-5.122274e-09,0.018200517,-3.6325306e-05,0.00041909516,0.01791501,0.00090776384,0.00022483617,-1.1667609e-05,0.014318019,0.009633422,-7.683411e-09,2.4564564e-05,0.0013994575,0.021770716,-2.597645e-05,2.3748726e-08,1.681596e-05,0.0036362559,0.013918668,-7.547438e-06,0.030928046,0.011019826,3.7353486e-05,0.020024776,0.020968825,0.011547059,0.02635476,0.000118397176,0.00013916194,0.022200048,-2.9094517e-06,0.011638999,-2.354756e-05,0.00017105788,0.0054272115,0.003193438,0.0113684535,0.0059725046,0.0020973384,5.54882e-06,1.6391277e-07,3.4719706e-06,2.3469329e-07,0.010908484,9.744614e-05
